low,high,dur_label,vol_at_bucket,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.15,≤1h,$100K-1M,EXP_HIGH+MID ≥80%,31,0.22580645161290322,0.5053763440860215,64,0.140625,-0.0625,0.15,false,false
0.05,0.15,≤1h,$100K-1M,nw≥4 + EXP_HIGH+MID ≥50%,33,0.21212121212121213,0.41414141414141414,45,0.2222222222222222,0.4814814814814814,0.15,true,false
0.05,0.15,≤1h,$100K-1M,FRESH+NEW+SEMI ≥50% (fade),162,0.12962962962962962,-0.13580246913580252,60,0.06666666666666667,-0.5555555555555556,0.15,false,true
0.05,0.15,≤1h,>$1M,baseline,50,0.06,-0.6,71,0.22535211267605634,0.5023474178403757,0.15,false,false
0.05,0.15,≤1h,>$1M,EXP_HIGH+MID ≥50%,5,0.2,0.3333333333333335,24,0.25,0.6666666666666667,0.15,true,false
0.05,0.15,≤1h,>$1M,FRESH+NEW+SEMI ≥50% (fade),29,0.06896551724137931,-0.5402298850574713,21,0.09523809523809523,-0.3650793650793651,0.15,false,true
0.05,0.15,≤6h,all,baseline,1785,0.15518207282913166,0.03454715219421112,905,0.15027624309392265,0.0018416206261511192,0.15,true,false
0.05,0.15,≤6h,all,EXP_HIGH+MID ≥50%,359,0.2116991643454039,0.41132776230269275,297,0.20875420875420875,0.39169472502805847,0.15,true,false
0.05,0.15,≤6h,all,EXP_HIGH+MID ≥80%,242,0.24793388429752067,0.6528925619834711,204,0.20588235294117646,0.37254901960784315,0.15,true,false
0.05,0.15,≤6h,all,nw≥4 + EXP_HIGH+MID ≥50%,152,0.15789473684210525,0.05263157894736836,147,0.24489795918367346,0.6326530612244898,0.15,true,false
0.05,0.15,≤6h,all,FRESH+NEW+SEMI ≥50% (fade),841,0.1272294887039239,-0.15180340864050734,300,0.11,-0.2666666666666666,0.15,false,true
0.05,0.15,≤6h,<$1K,baseline,235,0.2297872340425532,0.5319148936170213,83,0.24096385542168675,0.606425702811245,0.15,true,false
0.05,0.15,≤6h,<$1K,EXP_HIGH+MID ≥50%,35,0.3142857142857143,1.0952380952380953,20,0.25,0.6666666666666667,0.15,true,false
0.05,0.15,≤6h,<$1K,EXP_HIGH+MID ≥80%,32,0.3125,1.0833333333333335,18,0.2222222222222222,0.4814814814814814,0.15,true,false
0.05,0.15,≤6h,<$1K,FRESH+NEW+SEMI ≥50% (fade),127,0.2204724409448819,0.46981627296587924,39,0.28205128205128205,0.8803418803418803,0.15,true,false
0.05,0.15,≤6h,$1K-10K,baseline,171,0.13450292397660818,-0.10331384015594547,93,0.0967741935483871,-0.3548387096774194,0.15,false,true
0.05,0.15,≤6h,$1K-10K,EXP_HIGH+MID ≥50%,53,0.11320754716981132,-0.24528301886792447,29,0.13793103448275862,-0.08045977011494254,0.15,false,true
0.05,0.15,≤6h,$1K-10K,EXP_HIGH+MID ≥80%,38,0.10526315789473684,-0.29824561403508776,19,0.21052631578947367,0.4035087719298245,0.15,false,false
0.05,0.15,≤6h,$1K-10K,nw≥4 + EXP_HIGH+MID ≥50%,11,0.0,-1.0,10,0.0,-1.0,0.15,false,true
0.05,0.15,≤6h,$1K-10K,FRESH+NEW+SEMI ≥50% (fade),63,0.09523809523809523,-0.3650793650793651,34,0.08823529411764706,-0.4117647058823529,0.15,false,true
0.05,0.15,≤6h,$10K-100K,baseline,907,0.16207276736493936,0.0804851157662625,397,0.14105793450881612,-0.0596137699412258,0.15,false,false
0.05,0.15,≤6h,$10K-100K,EXP_HIGH+MID ≥50%,196,0.24489795918367346,0.6326530612244898,118,0.2288135593220339,0.5254237288135595,0.15,true,false
0.05,0.15,≤6h,$10K-100K,EXP_HIGH+MID ≥80%,134,0.2835820895522388,0.8905472636815921,83,0.2289156626506024,0.5261044176706826,0.15,true,false
0.05,0.15,≤6h,$10K-100K,nw≥4 + EXP_HIGH+MID ≥50%,91,0.18681318681318682,0.24542124542124544,55,0.2727272727272727,0.8181818181818181,0.15,true,false
0.05,0.15,≤6h,$10K-100K,FRESH+NEW+SEMI ≥50% (fade),418,0.11483253588516747,-0.23444976076555024,137,0.0948905109489051,-0.36739659367396593,0.15,false,true
0.05,0.15,≤6h,$100K-1M,baseline,413,0.12106537530266344,-0.19289749798224376,251,0.13147410358565736,-0.12350597609561753,0.15,false,true
0.05,0.15,≤6h,$100K-1M,EXP_HIGH+MID ≥50%,68,0.14705882352941177,-0.019607843137254832,104,0.18269230769230768,0.21794871794871784,0.15,false,false
0.05,0.15,≤6h,$100K-1M,EXP_HIGH+MID ≥80%,33,0.21212121212121213,0.41414141414141414,71,0.15492957746478872,0.032863849765258246,0.15,true,false
0.05,0.15,≤6h,$100K-1M,nw≥4 + EXP_HIGH+MID ≥50%,46,0.15217391304347827,0.01449275362318847,61,0.22950819672131148,0.5300546448087433,0.15,true,false
0.05,0.15,≤6h,$100K-1M,FRESH+NEW+SEMI ≥50% (fade),200,0.115,-0.23333333333333328,68,0.058823529411764705,-0.607843137254902,0.15,false,true
0.05,0.15,≤6h,>$1M,baseline,59,0.05084745762711865,-0.6610169491525424,81,0.2222222222222222,0.4814814814814814,0.15,false,false
