low,high,dur_label,filter,train_n,train_wr,train_roi,hold_n,hold_wr,hold_roi,entry_price,robust,fade_robust
0.05,0.35,≤1h,nw≥4 + EXP_HIGH+MID ≥50%,42,0.42857142857142855,0.22448979591836737,46,0.391304347826087,0.11801242236024856,0.35,true,false
0.05,0.35,≤1h,FRESH+NEW+SEMI ≥50% (fade),208,0.25961538461538464,-0.2582417582417581,94,0.18085106382978725,-0.48328267477203646,0.35,false,true
0.05,0.35,≤6h,baseline,628,0.31210191082802546,-0.10828025477707004,337,0.2522255192878338,-0.2793556591776176,0.35,false,true
0.05,0.35,≤6h,EXP_HIGH+MID ≥50%,129,0.4496124031007752,0.28460686600221496,117,0.3418803418803419,-0.023199023199023117,0.35,false,false
0.05,0.35,≤6h,EXP_HIGH+MID ≥80%,80,0.5,0.4285714285714286,61,0.4262295081967213,0.2177985948477752,0.35,true,false
0.05,0.35,≤6h,nw≥4 + EXP_HIGH+MID ≥50%,63,0.42857142857142855,0.22448979591836737,80,0.3375,-0.03571428571428559,0.35,false,false
0.05,0.35,≤6h,FRESH+NEW+SEMI ≥50% (fade),266,0.2593984962406015,-0.258861439312567,118,0.19491525423728814,-0.44309927360774815,0.35,false,true
0.05,0.35,≤24h,baseline,727,0.2998624484181568,-0.14325014737669484,399,0.2581453634085213,-0.26244181883279627,0.35,false,true
0.05,0.35,≤24h,EXP_HIGH+MID ≥50%,164,0.4146341463414634,0.18466898954703836,139,0.33093525179856115,-0.054470709146968055,0.35,false,false
0.05,0.35,≤24h,EXP_HIGH+MID ≥80%,88,0.5,0.4285714285714286,69,0.37681159420289856,0.07660455486542461,0.35,true,false
0.05,0.35,≤24h,nw≥4 + EXP_HIGH+MID ≥50%,93,0.3655913978494624,0.044546850998463894,101,0.32673267326732675,-0.06647807637906633,0.35,false,false
0.05,0.35,≤24h,FRESH+NEW+SEMI ≥50% (fade),302,0.24834437086092714,-0.29044465468306524,129,0.20930232558139536,-0.40199335548172754,0.35,false,true
0.05,0.35,all,baseline,888,0.28716216216216217,-0.1795366795366795,462,0.26406926406926406,-0.24551638837353118,0.35,false,true
